,s
37,http://yago-knowledge.org/resource/Human
50,http://yago-knowledge.org/resource/Religious_text
57,http://yago-knowledge.org/resource/Communes_of_France
58,http://yago-knowledge.org/resource/Comune
61,http://yago-knowledge.org/resource/Live_album
63,http://yago-knowledge.org/resource/Race_track
64,http://yago-knowledge.org/resource/Dimensionless_numbers_in_fluid_mechanics
66,http://yago-knowledge.org/resource/Headland
67,http://yago-knowledge.org/resource/Business
68,http://yago-knowledge.org/resource/Building
78,http://yago-knowledge.org/resource/Hamlet_(place)
79,http://yago-knowledge.org/resource/Town_square
80,http://yago-knowledge.org/resource/New_religious_movement
84,http://yago-knowledge.org/resource/Theorem
90,http://yago-knowledge.org/resource/Human_settlement
91,http://yago-knowledge.org/resource/Single_(music)
92,http://yago-knowledge.org/resource/File_format
95,http://yago-knowledge.org/resource/Village
96,http://yago-knowledge.org/resource/Bakhsh
97,http://yago-knowledge.org/resource/Character_(arts)
101,http://yago-knowledge.org/resource/Season_(sports)
102,http://yago-knowledge.org/resource/Government
103,http://yago-knowledge.org/resource/Software
105,http://yago-knowledge.org/resource/Real_estate
107,http://yago-knowledge.org/resource/Modern_language
108,http://yago-knowledge.org/resource/Municipalities_of_Switzerland
113,http://yago-knowledge.org/resource/Cultural_heritage
114,http://yago-knowledge.org/resource/Suspension_bridge
118,http://yago-knowledge.org/resource/Cafeteria
121,http://yago-knowledge.org/resource/Secondary_school
124,http://yago-knowledge.org/resource/Wat
126,http://yago-knowledge.org/resource/Compilation_album
128,http://yago-knowledge.org/resource/Census-designated_place
129,http://yago-knowledge.org/resource/Geological_formation
131,http://yago-knowledge.org/resource/Community_college
132,http://yago-knowledge.org/resource/Wards_and_electoral_divisions_of_the_United_Kingdom
135,http://yago-knowledge.org/resource/February
137,http://yago-knowledge.org/resource/Television_film
138,http://yago-knowledge.org/resource/Asteroid
139,http://yago-knowledge.org/resource/Road
141,http://yago-knowledge.org/resource/Glacier
142,http://yago-knowledge.org/resource/Music_publisher_(sheet_music)
143,http://yago-knowledge.org/resource/Mutiny
145,http://yago-knowledge.org/resource/Award
148,http://yago-knowledge.org/resource/Film_festival
151,http://yago-knowledge.org/resource/Bank
152,http://yago-knowledge.org/resource/Municipalities_of_Germany
155,http://yago-knowledge.org/resource/Broadcast_network
156,http://yago-knowledge.org/resource/Provinces_of_Chile
157,http://yago-knowledge.org/resource/Districts_of_the_Czech_Republic
158,http://yago-knowledge.org/resource/Galaxy
159,http://yago-knowledge.org/resource/Nonprofit_organization
161,http://yago-knowledge.org/resource/Music_genre
164,http://yago-knowledge.org/resource/Flag
165,http://yago-knowledge.org/resource/Military_unit
169,http://yago-knowledge.org/resource/Soft_drink
170,http://yago-knowledge.org/resource/Provinces_of_Venezuela
173,http://yago-knowledge.org/resource/Short_story_collection
174,http://yago-knowledge.org/resource/Valley
175,http://yago-knowledge.org/resource/Extinct_language
176,http://yago-knowledge.org/resource/Township_(Pennsylvania)
177,http://yago-knowledge.org/resource/Television_show
178,http://yago-knowledge.org/resource/Local_election
179,http://yago-knowledge.org/resource/Circle_route
180,http://yago-knowledge.org/resource/Cantons_of_France
183,http://yago-knowledge.org/resource/Chemical_compound
184,http://yago-knowledge.org/resource/Siege
185,http://yago-knowledge.org/resource/Cosmic_entity_(DC_Comics)
186,http://yago-knowledge.org/resource/Vine
187,http://yago-knowledge.org/resource/Ghost_town
189,http://yago-knowledge.org/resource/Act_of_Congress
190,http://yago-knowledge.org/resource/Presidential_election
191,http://yago-knowledge.org/resource/Mahalle
194,http://yago-knowledge.org/resource/Royal_Air_Force_station
196,http://yago-knowledge.org/resource/Mountain_range
197,http://yago-knowledge.org/resource/Nuclear_weapons_testing
198,http://yago-knowledge.org/resource/Music_festival
201,http://yago-knowledge.org/resource/Borough_(Pennsylvania)
202,http://yago-knowledge.org/resource/Military_Museum
205,http://yago-knowledge.org/resource/Shōnen_manga
208,http://yago-knowledge.org/resource/Soccer-specific_stadium
209,http://yago-knowledge.org/resource/Branches_of_science
210,http://yago-knowledge.org/resource/Car_model
211,http://yago-knowledge.org/resource/Art_museum
212,http://yago-knowledge.org/resource/Neighbourhood
213,http://yago-knowledge.org/resource/Novel
214,http://yago-knowledge.org/resource/Headquarters
215,http://yago-knowledge.org/resource/Awards_ceremony
217,http://yago-knowledge.org/resource/Regions_of_Italy
218,http://yago-knowledge.org/resource/University
219,http://yago-knowledge.org/resource/Drink
221,http://yago-knowledge.org/resource/Discography
222,http://yago-knowledge.org/resource/Peace_treaty
223,http://yago-knowledge.org/resource/Sports_competition
224,http://yago-knowledge.org/resource/Bowl_game
225,http://yago-knowledge.org/resource/Archaeology_museum
226,http://yago-knowledge.org/resource/Magnet_school
227,http://yago-knowledge.org/resource/State_school
228,http://yago-knowledge.org/resource/High_school_(North_America)
229,http://yago-knowledge.org/resource/Geographical_feature
230,http://yago-knowledge.org/resource/Vorort
231,http://yago-knowledge.org/resource/Ethnic_group
233,http://yago-knowledge.org/resource/Historic_district
234,http://yago-knowledge.org/resource/Protein_family
235,http://yago-knowledge.org/resource/Oil_refinery
236,http://yago-knowledge.org/resource/Provisional_government
238,http://yago-knowledge.org/resource/Tribe
239,http://yago-knowledge.org/resource/Radical_(Chinese_characters)
